ID,Class,category,x1,x2
PTC2763,9,Polyesters,13.223464,22.735294
PTC1239,10,Polyamides,-0.9542537,0.27157423
PTC0657,9,Polyesters,7.4708443,13.139352
PTC0531,15,Polycarbonates,10.737925,7.1186624
PTC2768,9,Polyesters,11.232488,7.8830633
PTC3049,10,Polyamides,23.437044,0.34090713
PTC0100,9,Polyesters,-5.6393037,0.9250704
PTC2838,9,Polyesters,17.246225,4.8564706
PTC2124,7,Polyethers,-4.7732716,0.8797211
PTC0671,7,Polyethers,16.336052,2.3082557
PTC1898,4,Polyacrylics,3.4056537,12.633753
PTC0099,9,Polyesters,-5.63478,0.9236058
PTC0639,9,Polyesters,-0.35560587,24.536612
PTC4326,9,Polyesters,5.673848,-6.5046196
PTC3380,14,Polyanhydrides,4.591164,9.087007
PTC0425,7,Polyethers,5.886369,11.642256
PTC1592,14,Polyanhydrides,2.717047,21.192665
PTC2654,9,Polyesters,18.382437,8.545354
PTC4213,11,Polyurethanes,7.0768547,16.565023
PTC1837,4,Polyacrylics,6.322857,8.3387575
PTC4527,1,Polyolefins,5.262283,10.206567
PTC3047,10,Polyamides,23.554516,0.4454326
PTC2854,10,Polyamides,8.7008295,11.300257
PTC3410,15,Polycarbonates,8.076933,9.760299
PTC1933,5,Polyhalo-olefins,4.6928587,10.488595
PTC0485,10,Polyamides,7.4666195,27.082546
PTC3902,17,Polyketones,6.7253947,10.425956
PTC1638,15,Polycarbonates,10.487168,7.086537
PTC1330,10,Polyamides,-3.6152828,-4.733895
PTC0695,13,Polyimides,-2.8301387,7.6792655
PTC0925,9,Polyesters,2.4625418,-9.991519
PTC3422,15,Polycarbonates,-0.5573302,13.028555
PTC3763,4,Polyacrylics,14.226719,11.981506
PTC0026,3,Polyvinyls,5.088214,10.373748
PTC2989,10,Polyamides,-6.4995656,-2.1756387
PTC0977,9,Polyesters,-6.1274195,20.088476
PTC2745,9,Polyesters,7.927799,9.776792
PTC2809,9,Polyesters,8.869103,16.621153
PTC1323,10,Polyamides,6.1272664,13.478604
PTC1972,7,Polyethers,5.8041034,8.861756
PTC2822,9,Polyesters,8.966075,16.338987
PTC0241,2,Polystyrenes,7.0396256,9.510468
PTC3325,13,Polyimides,-2.5740502,1.9960749
PTC4004,9,Polyesters,6.846713,10.494378
PTC1247,10,Polyamides,6.1206145,13.073756
PTC0956,9,Polyesters,6.4927115,11.876035
PTC2027,7,Polyethers,6.0548925,9.08597
PTC3692,18,Polysulfones,5.404614,10.038127
PTC0513,14,Polyanhydrides,4.849354,5.6077003
PTC0416,7,Polyethers,6.7847347,9.838484
PTC4336,9,Polyesters,11.917878,16.601473
PTC0590,11,Polyurethanes,-4.8013544,11.382786
PTC0376,5,Polyhalo-olefins,4.604586,9.907524
PTC1342,10,Polyamides,23.415989,0.30944106
PTC2950,11,Polyurethanes,1.2894356,-7.054548
PTC1212,10,Polyamides,-5.8523846,-4.2744265
PTC4486,9,Polyesters,11.94199,12.138891
PTC1583,14,Polyanhydrides,2.6864026,21.223642
PTC1765,1,Polyolefins,5.6064534,8.77506
PTC1236,10,Polyamides,4.5735345,17.389063
PTC0805,9,Polyesters,5.7042055,20.667803
PTC0369,5,Polyhalo-olefins,7.006066,9.595113
PTC0944,9,Polyesters,9.609442,12.839204
PTC0510,14,Polyanhydrides,6.996875,10.668353
PTC0165,3,Polyvinyls,2.8727846,12.439699
PTC2724,9,Polyesters,11.17165,8.256546
PTC0710,8,Polysulfides,5.852391,9.657426
PTC4180,6,Polydienes,5.200409,8.330782
PTC2346,7,Polyethers,5.6069446,8.221499
PTC2190,9,Polyesters,3.7325492,20.73827
PTC0594,11,Polyurethanes,7.053569,16.57494
